Ward,RequestType,CrimeType,Correlation,UselessData
17,2,6,6.01E-01,0.038298511
17,2,5,6.07E-01,0.039759479
17,2,7,3.58E-01,-0.023179068
17,2,8,6.08E-01,0.040038173
18,2,2,6.16E-01,0.041904457
18,2,3,6.97E-01,0.062551478
18,2,4,5.46E-01,0.024345604
18,2,1,1.00E+00,0.139072141
18,2,9,6.44E-01,0.049093226
18,2,6,6.22E-01,0.04353146
18,2,5,2.90E-01,-0.040449276
18,2,7,3.96E-01,-0.013562728
18,2,8,2.96E-01,-0.03892925
19,2,2,7.39E-01,0.073060945
19,2,3,5.91E-01,0.035605227
19,2,4,3.15E-01,-0.033991896
19,2,1,6.04E-01,0.038965206
19,2,9,5.06E-01,0.014175515
19,2,6,6.10E-01,0.040506522
19,2,5,2.10E-01,-0.060666473
19,2,7,4.84E-01,0.008688269
19,2,8,4.54E-01,0.000956724
20,2,2,5.31E-01,0.020433676
20,2,3,2.48E-01,-0.050958207
20,2,4,4.11E-01,-0.009889666
20,2,1,5.64E-01,0.028855822
20,2,9,3.13E-01,-0.034650284
20,2,6,5.95E-01,0.036663098
20,2,5,3.94E-01,-0.014172868
20,2,7,5.24E-01,0.01880529
20,2,8,3.80E-01,-0.017656642
21,2,2,6.61E-01,0.0534819
21,2,3,4.95E-01,0.011470844
21,2,4,3.38E-01,-0.028414081
21,2,1,7.10E-01,0.065754947
21,2,9,6.74E-01,0.056596418
21,2,6,8.61E-01,0.103852448
21,2,5,3.25E-01,-0.031609403
21,2,7,5.20E-01,0.017650006
21,2,8,4.11E-01,-0.009882762
22,2,2,4.34E-01,-0.004122721
22,2,3,3.19E-01,-0.033018813
22,2,4,3.41E-01,-0.027456849
22,2,1,3.70E-01,-0.020147798
22,2,9,5.87E-01,0.034583954
22,2,6,5.96E-01,0.036860572
22,2,5,6.47E-01,0.04987056
22,2,7,5.03E-01,0.013547653
22,2,8,3.85E-01,-0.016356294
23,2,2,7.20E-01,0.068186113
23,2,3,8.04E-01,0.089462489
23,2,4,3.60E-01,-0.022751337
23,2,1,8.06E-01,0.089914651
23,2,9,4.56E-01,0.001573595
23,2,6,5.57E-01,0.027165707
23,2,5,4.61E-01,0.002760066
23,2,7,4.93E-01,0.010983962
23,2,8,2.47E-01,-0.051399124
24,2,2,6.63E-01,0.05398433
24,2,3,4.36E-01,-0.003444682
24,2,4,6.73E-01,0.056415036
24,2,1,8.91E-01,0.111516438
24,2,9,5.34E-01,0.02134635
24,2,6,5.48E-01,0.02488092
24,2,5,5.49E-01,0.025019432
24,2,7,3.60E-01,-0.022753884
24,2,8,3.48E-01,-0.025711231
25,2,2,3.07E-01,-0.036109159
25,2,3,3.61E-01,-0.022416032
25,2,4,1.57E-01,-0.074094868
25,2,1,5.40E-01,0.02274959
25,2,9,4.79E-01,0.007406519
25,2,6,5.90E-01,0.035538457
25,2,5,4.30E-01,-0.00511864
25,2,7,4.30E-01,-0.004957609
25,2,8,4.00E-01,-0.012623698
26,2,2,5.95E-01,0.036623961
26,2,3,6.86E-01,0.05963382
26,2,4,5.87E-01,0.03462253
26,2,1,6.44E-01,0.049042043
26,2,9,5.90E-01,0.035399674
26,2,6,6.19E-01,0.042840741
26,2,5,4.46E-01,-0.000914063
26,2,7,4.96E-01,0.011686229
26,2,8,3.52E-01,-0.024701715
27,2,2,5.77E-01,0.032070448
27,2,3,4.24E-01,-0.006570099
27,2,4,2.96E-01,-0.038983855
27,2,1,6.03E-01,0.038715351
27,2,9,4.71E-01,0.005320129
27,2,6,6.69E-01,0.055463332
27,2,5,4.40E-01,-0.002507312
27,2,7,3.47E-01,-0.025998872
27,2,8,4.29E-01,-0.005226148
28,2,2,5.17E-01,0.016948544
28,2,3,3.99E-01,-0.012914621
28,2,4,5.46E-01,0.024409067
28,2,1,7.92E-01,0.086578096
28,2,9,5.93E-01,0.036259897
28,2,6,6.79E-01,0.058008353
28,2,5,5.06E-01,0.014140231
28,2,7,5.50E-01,0.025354486
28,2,8,5.31E-01,0.020484677
29,2,2,6.97E-01,0.062513645
29,2,3,6.39E-01,0.047792106
29,2,4,2.98E-01,-0.03829577
29,2,1,6.49E-01,0.050338978
29,2,9,5.63E-01,0.028633405
29,2,6,6.19E-01,0.042755014
29,2,5,3.58E-01,-0.023270137
29,2,7,4.49E-01,-0.00029516
29,2,8,4.51E-01,0.000180755
30,2,2,7.74E-01,0.082016988
30,2,3,6.38E-01,0.047597752
30,2,4,2.31E-01,-0.055418753
30,2,1,6.00E-01,0.03785573
30,2,9,5.76E-01,0.031866881
30,2,6,5.51E-01,0.025643278
30,2,5,3.92E-01,-0.014519354
30,2,7,3.81E-01,-0.017523868
